"","year","region","nontaxrev","subin","subsidies","shared_income","otherincome","totincome","T_goods","N_SOE","n_protest"
"1",2013,"Beijing",146.59,95.56,NA,3514.5169,NA,NA,89724.45196,NA,53
"2",2013,"Tianjin",768.41,59.98,NA,1310.662,NA,NA,91797.248422,NA,NA
"3",2013,"Hebei",570.75,94,NA,1724.8687,NA,NA,61529.600792,NA,2
"4",2013,"Shanxi",564.74,320.47,NA,1136.8875,NA,NA,11703.752214,NA,5
"5",2013,"Inner Mongolia",505.79,154.82,NA,1215.1973,NA,NA,9813.609674,NA,NA
"6",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2013,"Liaoning",822.2,107.12,NA,2521.6155,NA,NA,82767.865092,NA,13
"8",2013,"Jilin",300.55,51.4,NA,856.4084,NA,NA,17180.028756,NA,12
"9",2013,"Heilongjiang",364.58,73.61,NA,912.8175,NA,NA,18684.331842,NA,NA
"10",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2013,"Shanghai",312.35,115.68,NA,3797.1606,NA,NA,296177.588498,NA,10
"12",2013,"Jiangsu",1148.98,193.11,NA,5419.488,NA,NA,404627.383688,NA,1
"13",2013,"Zhejiang",251.26,121.4,NA,3545.6603,NA,NA,249276.168878,NA,7
"14",2013,"Anhui",554.86,103.26,NA,1520.2168,NA,NA,26548.572732,NA,2
"15",2013,"Fujian",396.16,78.79,NA,1723.2829,NA,NA,105357.423732,NA,9
"16",2013,"Jiangxi",442.49,62.96,NA,1178.7426,NA,NA,22950.952486,NA,NA
"17",2013,"Shangdong",1026.46,163.58,NA,3533.4906,NA,NA,214790.503334,NA,NA
"18",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2013,"Henan",650.74,90.25,NA,1764.7107,NA,NA,42811.584288,NA,NA
"20",2013,"Hubei",586.37,68.73,NA,1604.848,NA,NA,24303.263688,NA,NA
"21",2013,"Hunan",731.73,62.09,NA,1299.1462,NA,NA,16583.55633,NA,8
"22",2013,"Guangdong",1313.53,233.09,NA,5767.9389,NA,NA,873772.663698,NA,23
"23",2013,"Guangxi",441.86,40.74,NA,875.7432,NA,NA,26390.719058,NA,5
"24",2013,"Hainan",69.38,11.17,NA,411.6331,NA,NA,10064.986008,NA,NA
"25",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2013,"Chongqin",580.63,56.8,NA,1112.6179,NA,NA,40091.528906,NA,NA
"27",2013,"Sichuan",680.59,112.68,NA,2103.5091,NA,NA,37574.573806,NA,10
"28",2013,"Guizhou",366.75,73.84,NA,839.6672,NA,NA,3244.276046,NA,4
"29",2013,"Yunnan",395.64,163.24,NA,1215.6592,NA,NA,10792.175328,NA,10
"30",2013,"Xizang",23.49,4.08,NA,71.5366,NA,NA,1435.029618,NA,1
"31",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2013,"Shaanxi",492.09,147.78,NA,1256.2435,NA,NA,13789.868818,NA,NA
"33",2013,"Gansu",189.55,60.79,NA,417.7266,NA,NA,4665.941192,NA,19
"34",2013,"Qinghai",48.81,19.76,NA,175.0516,NA,NA,583.60104,NA,NA
"35",2013,"Ningxia",70.85,18.8,NA,237.4913,NA,NA,1778.845596,NA,NA
"36",2013,"Xinjiang",302.15,162.64,NA,826.3414,NA,NA,25621.448974,NA,5
"37",2012,"Beijing",190.18,88,NA,3124.75,NA,NA,87750.151984,7211,175
"38",2012,"Tianjin",654.46,59.96,NA,1105.56,NA,NA,83782.280076,4336,2
"39",2012,"Hebei",523.69,96.88,NA,1560.59,NA,NA,56121.09459,5795,NA
"40",2012,"Shanxi",471.16,268.18,NA,1045.22,NA,NA,11315.56327,6005,4
"41",2012,"Inner Mongolia",432.88,138.64,NA,1119.87,NA,NA,9526.979396,2590,NA
"42",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2012,"Liaoning",788.19,110.53,NA,2317.19,NA,NA,80706.408244,10093,27
"44",2012,"Jilin",280.68,49.42,NA,760.57,NA,NA,16694.240156,3057,51
"45",2012,"Heilongjiang",325.37,49.91,NA,837.8,NA,NA,19241.280322,5880,6
"46",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2012,"Shanghai",316.92,104.7,NA,3426.79,NA,NA,296095.15584,5371,3
"48",2012,"Jiangsu",1078.1,179.34,NA,4782.59,NA,NA,401470.173808,7389,12
"49",2012,"Zhejiang",213.46,116.1,NA,3227.77,NA,NA,237463.761788,5438,85
"50",2012,"Anhui",487.63,87.48,NA,1305.09,NA,NA,22478.27329,5791,2
"51",2012,"Fujian",335.84,69.51,NA,1440.34,NA,NA,99702.283824,6768,117
"52",2012,"Jiangxi",393.91,52.03,NA,978.08,NA,NA,20620.728304,6277,64
"53",2012,"Shangdong",1009.23,138.9,NA,3050.2,NA,NA,202312.85503,9421,NA
"54",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2012,"Henan",570.77,87.89,NA,1469.57,NA,NA,37055.159196,6450,NA
"56",2012,"Hubei",498.62,55.27,NA,1324.44,NA,NA,22122.598014,8266,NA
"57",2012,"Hunan",671.42,57.94,NA,1110.74,NA,NA,14630.494516,5857,56
"58",2012,"Guangdong",1155.3,202.56,NA,5073.88,NA,NA,760653.97903,11903,175
"59",2012,"Guangxi",403.6,31.49,NA,762.46,NA,NA,27876.55904,5362,12
"60",2012,"Hainan",58.63,8.82,NA,350.8,NA,NA,9930.28487,1563,21
"61",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2012,"Chongqin",733.32,113.66,NA,970.17,NA,NA,30854.316306,3126,NA
"63",2012,"Sichuan",594.23,104.41,NA,1827.04,NA,NA,35260.779686,5505,1
"64",2012,"Guizhou",332.39,84.85,NA,681.66,NA,NA,3445.76067,3729,12
"65",2012,"Yunnan",274.25,88.58,NA,1063.9,NA,NA,8265.41034,3748,NA
"66",2012,"Xizang",16.52,1.91,NA,70.07,NA,NA,1442.700754,595,29
"67",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2012,"Shaanxi",469.13,174.77,NA,1131.55,NA,NA,10359.394496,5303,NA
"69",2012,"Gansu",172.62,75.46,NA,347.78,NA,NA,4885.430616,2575,106
"70",2012,"Qinghai",39.73,20.96,NA,146.69,NA,NA,554.4319,968,1
"71",2012,"Ningxia",56.94,12.42,NA,207.02,NA,NA,1823.05079,729,NA
"72",2012,"Xinjiang",210.04,89.4,NA,698.93,NA,NA,22933.867704,2543,NA
"73",2011,"Beijing",151.65,79.39,NA,2854.63,NA,NA,265677.17836,7300,43
"74",2011,"Tianjin",450.62,34.48,NA,1004.51,NA,NA,70502.54794,4219,NA
"75",2011,"Hebei",389.26,99.98,NA,1348.51,NA,NA,36555.77288,5947,NA
